Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Bayside,12:00pm - 1:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15,W,W,M,4,F,A14638415BZD,2024-2025,1Q,2
Bayside,2:00pm -3:00pm,12/06/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15,W,W,M,3,P,A15236678BZD,2024-2025,2Q,1
Shermer High School,1:00pm - 2:00pm,05/14/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,B,M,7,F,A13900589BZD,2023-2024,4Q,1
Bayside,10:00am-11:00am,01/23/2025,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,R,A14884319BZD,2024-2025,3Q,1
Bayside,12:00pm - 1:00pm,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,4,R,A14884319BZD,2024-2025,3Q,2
Shermer High School,12:00pm - 1:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,B,B,M,5,F,A16149077BZD,2024-2025,3Q,1
Shermer High School,8:00am - 9:00am,02/07/2025,Major Violation,,Continued Misconduct,Gym,105,B,B,M,5,F,A16149077BZD,2024-2025,3Q,1
Springfield Elementary,1:00pm - 2:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disruption,,Music Room,17,W,W,M,0,F,A16574678BZD,2024-2025,2Q,1
Springfield Elementary,2:00pm -3:00pm,04/12/2024,Minor Violation (5 times in the same quarter),Insubordination,,Bathroom,17,W,W,F,0,F,A16298201BZD,2023-2024,4Q,1
Springfield Elementary,12:00pm - 1:00pm,05/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17,W,W,F,0,F,A16298201BZD,2023-2024,4Q,2
Bayside,9:00am - 10:00am,10/29/2024,Minor Violation (5 times in the same quarter),Other,,Playground,15,W,W,M,4,F,A14923526BZD,2024-2025,2Q,1
Springfield Elementary,1:00pm - 2:00pm,12/09/2024,Major Violation,,Threats,Classroom,17,W,W,M,0,F,A16298552BZD,2024-2025,2Q,0
Shermer High School,1:00pm - 2:00pm,04/17/2024,Major Violation,,Continued Misconduct,Classroom,105,W,W,F,7,F,A14900759BZD,2023-2024,4Q,0
Shermer High School,1:00pm - 2:00pm,05/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,W,W,F,7,F,A14900759BZD,2023-2024,4Q,1
Shermer High School,12:00pm - 1:00pm,03/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,F,10,R,A15436550BZD,2023-2024,4Q,1
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,4,F,A14911667BZD,2024-2025,1Q,1
Bayside,After School,10/02/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,F,4,F,A14911667BZD,2024-2025,1Q,2
Bayside,8:00am - 9:00am,10/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Lobby/Commons,15,W,W,F,4,F,A14911667BZD,2024-2025,2Q,1
