Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Shermer High School,1:00pm - 2:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,W,M,9,F,A13368554BZD,2024-2025,2Q,4
Springfield Elementary,12:00pm - 1:00pm,12/19/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,17,W,W,F,1,F,A16298192BZD,2024-2025,2Q,1
Springfield Elementary,11:00am - 12:00pm,04/30/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Lobby/Commons,17,W,W,M,0,R,A15851552BZD,2023-2024,4Q,1
Springfield Elementary,1:00pm - 2:00pm,05/14/2024,Major Violation,,Continued Misconduct,Gym,17,W,W,M,0,P,A16298183BZD,2023-2024,4Q,0
Springfield Elementary,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Other,,Playground,17,W,W,F,1,F,A15405575BZD,2024-2025,1Q,1
Bayside,1:00pm - 2:00pm,09/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,4,F,A14991482BZD,2024-2025,1Q,1
Springfield Elementary,2:00pm -3:00pm,10/21/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,W,W,M,0,F,A16214498BZD,2024-2025,2Q,1
Springfield Elementary,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,17,W,W,M,0,F,A16214498BZD,2024-2025,2Q,2
Springfield Elementary,2:00pm -3:00pm,11/04/2024,Major Violation,,Threats,Classroom,17,W,W,M,0,F,A16214498BZD,2024-2025,2Q,2
Bayside,10:00am-11:00am,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,4,F,A14991482BZD,2024-2025,2Q,1
Springfield Elementary,After School,11/21/2024,Minor Violation (5 times in the same quarter),Other,,Gym,17,W,W,M,0,F,A16214498BZD,2024-2025,2Q,3
Springfield Elementary,2:00pm -3:00pm,01/09/2025,Minor Violation (5 times in the same quarter),Other,,Classroom,17,W,W,M,0,F,A16214498BZD,2024-2025,3Q,1
Bayside,2:00pm -3:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,Bus Area/Loading Area,15,W,W,M,3,F,A15144467BZD,2024-2025,1Q,1
Bayside,8:00am - 9:00am,10/02/2024,Major Violation,,Threats,Gym,15,W,W,M,3,F,A15144467BZD,2024-2025,1Q,1
Bayside,1:00pm - 2:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,15,W,W,M,3,F,A15144467BZD,2024-2025,2Q,1
Bayside,11:00am - 12:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15,W,W,M,3,F,A15144467BZD,2024-2025,2Q,2
Rydell High School,10:00am-11:00am,08/22/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,35,W,"B,W",M,1,F,A15470015BZD,2024-2025,1Q,1
Rydell High School,2:00pm -3:00pm,08/26/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,"B,W",M,1,F,A15470015BZD,2024-2025,1Q,2
Rydell High School,11:00am - 12:00pm,08/27/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35,W,"B,W",M,1,F,A15470015BZD,2024-2025,1Q,3
Rydell High School,11:00am - 12:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,"B,W",M,1,F,A15470015BZD,2024-2025,2Q,1
Bayside,11:00am - 12:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,F,2,F,A15616889BZD,2024-2025,1Q,1
Bayside,11:00am - 12:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,2,P,A15616889BZD,2024-2025,2Q,1
Hill Valley High School,11:00am - 12:00pm,01/29/2025,Minor Violation (5 times in the same quarter),Other,,Classroom,5,W,W,M,4,F,A14781929BZD,2024-2025,3Q,1
Bayside,2:00pm -3:00pm,08/21/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,2,F,A15470471BZD,2024-2025,1Q,1
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470471BZD,2024-2025,1Q,2
Bayside,1:00pm - 2:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,2,F,A15470471BZD,2024-2025,1Q,3
Hill Valley High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,5,W,W,M,3,P,A14943278BZD,2024-2025,2Q,1
Springfield Elementary,10:00am-11:00am,03/22/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,17,W,W,M,0,P,A16298147BZD,2023-2024,4Q,1
Springfield Elementary,11:00am - 12:00pm,04/05/2024,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17,W,W,M,0,P,A16298147BZD,2023-2024,4Q,2
Springfield Elementary,9:00am - 10:00am,12/18/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,17,W,W,M,1,F,A16298147BZD,2024-2025,2Q,1
Springfield Elementary,11:00am - 12:00pm,12/18/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,W,W,M,1,F,A16298147BZD,2024-2025,2Q,2
Rydell High School,12:00pm - 1:00pm,01/17/2025,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,3,P,A15090779BZD,2024-2025,3Q,1
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,4,R,A15142475BZD,2024-2025,1Q,1
Bayside,10:00am-11:00am,10/03/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15142475BZD,2024-2025,1Q,2
Bayside,11:00am - 12:00pm,12/06/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Assembly/Special Event/Field Trip,15,W,W,M,4,P,A15142475BZD,2024-2025,2Q,1
Rydell High School,2:00pm -3:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,W,F,1,P,A15125486BZD,2024-2025,1Q,1
Rydell High School,11:00am - 12:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,35,W,W,F,1,P,A15125486BZD,2024-2025,2Q,1
Rydell High School,9:00am - 10:00am,01/28/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Music Room,35,W,W,F,1,P,A15125486BZD,2024-2025,3Q,2
Rydell High School,10:00am-11:00am,02/05/2025,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,W,F,1,P,A15125486BZD,2024-2025,3Q,3
Bayside,10:00am-11:00am,11/18/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,F,3,P,A15598052BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,F,A13728677BZD,2024-2025,1Q,1
Bayside,9:00am - 10:00am,10/29/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,M,4,F,A13728677BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,F,A13728677BZD,2024-2025,2Q,2
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,F,A13728677BZD,2024-2025,2Q,3
Bayside,12:00pm - 1:00pm,11/22/2024,Major Violation,,Continued Misconduct,Cafeteria,15,W,W,M,4,F,A13728677BZD,2024-2025,2Q,3
Springfield Elementary,11:00am - 12:00pm,04/02/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,17,W,W,F,1,F,A15470480BZD,2023-2024,4Q,1
Springfield Elementary,1:00pm - 2:00pm,04/24/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,17,W,W,M,0,P,A15857099BZD,2023-2024,4Q,1
Bayside,11:00am - 12:00pm,09/03/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,1
Bayside,9:00am - 10:00am,09/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,2
Bayside,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,3
Bayside,2:00pm -3:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,3
Bayside,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,4
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,5
Bayside,9:00am - 10:00am,09/24/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,15,W,W,F,2,F,A15470480BZD,2024-2025,1Q,6
Bayside,10:00am-11:00am,09/06/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,1
Bayside,10:00am-11:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,2
Bayside,10:00am-11:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,3
Bayside,2:00pm -3:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,3
Bayside,9:00am - 10:00am,09/20/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,3
Bayside,10:00am-11:00am,09/23/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,3
Bayside,2:00pm -3:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,4
Bayside,9:00am - 10:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,4
Bayside,11:00am - 12:00pm,09/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15,W,W,M,2,F,A15470477BZD,2024-2025,1Q,4
Bayside,11:00am - 12:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,2,F,A15470477BZD,2024-2025,2Q,1
Bayside,8:00am - 9:00am,11/07/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,1
Bayside,1:00pm - 2:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,2
Bayside,9:00am - 10:00am,11/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Hallway,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,3
Bayside,12:00pm - 1:00pm,11/13/2024,Major Violation,,Continued Misconduct,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,3
Rydell High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,35,W,W,M,3,P,A15144209BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,4
Bayside,12:00pm - 1:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,5
Bayside,1:00pm - 2:00pm,12/09/2024,Major Violation,,Continued Misconduct,Classroom,15,W,W,F,2,F,A15470480BZD,2024-2025,2Q,5
Springfield Elementary,9:00am - 10:00am,04/15/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,17,W,W,F,0,F,A15840410BZD,2023-2024,4Q,1
Bayside,2:00pm -3:00pm,09/03/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,1Q,1
Bayside,9:00am - 10:00am,09/12/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,1Q,2
Bayside,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,1Q,3
Bayside,After School,09/12/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,15,W,W,M,4,F,A15089432BZD,2024-2025,1Q,4
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,F,A15089432BZD,2024-2025,1Q,5
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15,W,W,M,4,F,A15089432BZD,2024-2025,1Q,6
Bayside,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,2
Bayside,11:00am - 12:00pm,10/28/2024,Major Violation,,Continued Misconduct,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,2
Bayside,2:00pm -3:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,3
Bayside,9:00am - 10:00am,11/20/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,4
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,5
Bayside,1:00pm - 2:00pm,11/22/2024,Major Violation,,Continued Misconduct,Bathroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,5
Springfield Elementary,10:00am-11:00am,12/19/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,W,W,F,1,F,A16298258BZD,2024-2025,2Q,1
Bayside,8:00am - 9:00am,12/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,6
Bayside,11:00am - 12:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,2Q,7
Bayside,9:00am - 10:00am,01/17/2025,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,3Q,1
Bayside,2:00pm -3:00pm,01/29/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,F,A15089432BZD,2024-2025,3Q,2
Bayside,11:00am - 12:00pm,09/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,2,F,A15773864BZD,2024-2025,1Q,1
Shermer High School,11:00am - 12:00pm,01/09/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,W,W,M,9,F,A13115837BZD,2024-2025,3Q,1
Shermer High School,1:00pm - 2:00pm,01/15/2025,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,9,F,A13115837BZD,2024-2025,3Q,2
Shermer High School,9:00am - 10:00am,01/24/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,W,M,9,F,A13115837BZD,2024-2025,3Q,3
Springfield Elementary,2:00pm -3:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,17,W,W,F,1,P,A16298504BZD,2024-2025,2Q,1
Shermer High School,8:00am - 9:00am,04/10/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,6,P,A13987592BZD,2023-2024,4Q,1
