Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Shermer High School,11:00am - 12:00pm,01/09/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,7,F,A14064242BZD
Springfield Elementary,12:00pm - 1:00pm,12/19/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,F,A16298192BZD
Springfield Elementary,9:00am - 10:00am,12/18/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,1,F,A16298147BZD
Springfield Elementary,11:00am - 12:00pm,12/18/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A16298147BZD
Shermer High School,10:00am-11:00am,01/15/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,11,P,A12692066BZD
Bayside,1:00pm - 2:00pm,01/15/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15849920BZD
Shermer High School,11:00am - 12:00pm,01/16/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,10,F,A14899361BZD
Hill Valley High School,11:00am - 12:00pm,12/13/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,1:00pm - 2:00pm,12/19/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A15850778BZD
Hill Valley High School,11:00am - 12:00pm,12/13/2024,Major Violation,,Assault,W,M,1,F,A15856592BZD
Hill Valley High School,After School,12/17/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15403370BZD
Bayside,9:00am - 10:00am,01/17/2025,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14609051BZD
Hill Valley High School,11:00am - 12:00pm,12/12/2024,Major Violation,,Continued Misconduct,W,M,1,R,A15856601BZD
Bayside,9:00am - 10:00am,01/17/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15089432BZD
Shermer High School,11:00am - 12:00pm,01/17/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,7,F,A14064242BZD
Hill Valley High School,11:00am - 12:00pm,12/19/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Shermer High School,11:00am - 12:00pm,01/09/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,9,F,A13115837BZD
Hill Valley High School,9:00am - 10:00am,12/19/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,Before School,01/16/2025,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,R,A15959621BZD
Shermer High School,1:00pm - 2:00pm,01/15/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,9,F,A13115837BZD
Rydell High School,12:00pm - 1:00pm,01/17/2025,Minor Violation (5 times in the same quarter),Other,,W,M,3,P,A15090779BZD
Hill Valley High School,12:00pm - 1:00pm,12/13/2024,Major Violation,,Fighting,W,M,1,P,A16327616BZD
Shermer High School,Before School,01/23/2025,Minor Violation (5 times in the same quarter),Other,,W,M,5,F,A16747604BZD
Bayside,2:00pm -3:00pm,01/23/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15597938BZD
Bayside,10:00am-11:00am,01/23/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,R,A14884319BZD
Springfield Elementary,2:00pm -3:00pm,01/09/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16214498BZD
Shermer High School,9:00am - 10:00am,01/24/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,9,F,A13631612BZD
Shermer High School,9:00am - 10:00am,01/24/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,B,M,9,F,A13618430BZD
Shermer High School,9:00am - 10:00am,01/24/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,9,F,A13115837BZD
Bayside,10:00am-11:00am,01/24/2025,Major Violation,,"Harassment,Bullying",W,M,2,F,A15659372BZD
Bayside,11:00am - 12:00pm,01/24/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,2,P,A15717014BZD
Bayside,10:00am-11:00am,01/24/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,B,M,2,F,A15945602BZD
Shermer High School,1:00pm - 2:00pm,01/27/2025,Minor Violation (5 times in the same quarter),Other,,W,M,9,F,A13631612BZD
Shermer High School,9:00am - 10:00am,01/28/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,7,F,A14064242BZD
Bayside,12:00pm - 1:00pm,01/28/2025,Minor Violation (5 times in the same quarter),Other,,W,F,4,P,A16568006BZD
Bayside,1:00pm - 2:00pm,01/28/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,4,F,A14365835BZD
Rydell High School,9:00am - 10:00am,01/28/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,1,P,A15125486BZD
Bayside,2:00pm -3:00pm,01/28/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15849686BZD
Shermer High School,11:00am - 12:00pm,01/29/2025,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,10,F,A14899361BZD
Hill Valley High School,Before School,01/24/2025,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A14943248BZD
Bayside,8:00am - 9:00am,01/29/2025,Minor Violation (5 times in the same quarter),Preparedness,,W,F,4,P,A14794331BZD
Bayside,1:00pm - 2:00pm,01/28/2025,Minor Violation (5 times in the same quarter),Preparedness,,W,M,4,F,A15458687BZD
Bayside,11:00am - 12:00pm,01/27/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,4,R,A15234140BZD
Bayside,11:00am - 12:00pm,01/27/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,P,A15553787BZD
Bayside,10:00am-11:00am,01/30/2025,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14365835BZD
Bayside,8:00am - 9:00am,01/30/2025,Major Violation,,Fighting,W,F,4,P,A15142526BZD
Bayside,9:00am - 10:00am,01/30/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15277364BZD
Bayside,9:00am - 10:00am,01/31/2025,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,F,4,P,A15142052BZD
Rydell High School,8:00am - 9:00am,01/31/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,B,M,0,F,A16157912BZD
Bayside,2:00pm -3:00pm,01/29/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15089432BZD
Bayside,1:00pm - 2:00pm,01/31/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,2,F,A15659372BZD
Bayside,12:00pm - 1:00pm,01/31/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,P,A15717014BZD
Rydell High School,10:00am-11:00am,01/31/2025,Minor Violation (5 times in the same quarter),Other,,B,M,0,F,A16157912BZD
Shermer High School,11:00am - 12:00pm,02/03/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,B,M,7,F,A13746125BZD
Rydell High School,11:00am - 12:00pm,02/03/2025,Minor Violation (5 times in the same quarter),Other,,W,M,4,P,A14784137BZD
Hill Valley High School,After School,01/29/2025,Major Violation,,Continued Misconduct,W,M,1,F,A16263224BZD
Hill Valley High School,11:00am - 12:00pm,01/29/2025,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14781929BZD
Springfield Elementary,9:00am - 10:00am,01/28/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,1,P,A15903068BZD
Springfield Elementary,11:00am - 12:00pm,01/28/2025,Major Violation,,Continued Misconduct,W,M,1,P,A15903068BZD
Springfield Elementary,8:00am - 9:00am,01/29/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,1,P,A15903068BZD
Springfield Elementary,12:00pm - 1:00pm,01/24/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16747481BZD
Bayside,2:00pm -3:00pm,02/03/2025,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14365835BZD
Bayside,10:00am-11:00am,02/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15597938BZD
Shermer High School,12:00pm - 1:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Insubordination,,B,M,7,F,A13732628BZD
Shermer High School,12:00pm - 1:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,7,F,A13631453BZD
Shermer High School,12:00pm - 1:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A13732628BZD
Rydell High School,10:00am-11:00am,02/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,P,A16132079BZD
Shermer High School,2:00pm -3:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,5,F,A14576444BZD
Rydell High School,9:00am - 10:00am,02/04/2025,Minor Violation (5 times in the same quarter),Disruption,,B,M,0,F,A16157912BZD
Shermer High School,After School,02/04/2025,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",W,M,11,P,A12692066BZD
Shermer High School,After School,02/04/2025,Major Violation,,Continued Misconduct,W,M,8,F,A16674929BZD
Shermer High School,After School,02/04/2025,Major Violation,,Continued Misconduct,B,M,9,F,A13618430BZD
Bayside,8:00am - 9:00am,02/05/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,F,4,R,A14843558BZD
Shermer High School,10:00am-11:00am,02/05/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,7,F,A13631453BZD
Bayside,11:00am - 12:00pm,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15277364BZD
Shermer High School,8:00am - 9:00am,02/05/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,5,F,A14576444BZD
Bayside,12:00pm - 1:00pm,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15597938BZD
Bayside,12:00pm - 1:00pm,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,R,A14884319BZD
Shermer High School,2:00pm -3:00pm,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,7,F,A14064242BZD
Rydell High School,9:00am - 10:00am,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,1,F,A15877154BZD
Rydell High School,10:00am-11:00am,02/05/2025,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15125486BZD
Shermer High School,8:00am - 9:00am,02/06/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,B,M,7,F,A13732628BZD
Shermer High School,12:00pm - 1:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,B,M,5,F,A16149077BZD
Shermer High School,1:00pm - 2:00pm,02/06/2025,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",B,M,7,F,A13732628BZD
Shermer High School,1:00pm - 2:00pm,02/06/2025,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",W,M,7,F,A13631453BZD
Bayside,2:00pm -3:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14850677BZD
Bayside,2:00pm -3:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A15142514BZD
Springfield Elementary,1:00pm - 2:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16438619BZD
Springfield Elementary,10:00am-11:00am,02/05/2025,Major Violation,,"Continued Misconduct,Leaving class/school without permission",W,M,1,P,A15903068BZD
Bayside,10:00am-11:00am,02/07/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A15244859BZD
Shermer High School,8:00am - 9:00am,02/07/2025,Major Violation,,Continued Misconduct,B,M,5,F,A16149077BZD
Rydell High School,12:00pm - 1:00pm,02/07/2025,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15995096BZD
Hill Valley High School,2:00pm -3:00pm,01/24/2025,Major Violation,,Continued Misconduct,W,M,0,F,A15843587BZD
Hill Valley High School,Before School,02/05/2025,Major Violation,,Threats,W,M,3,F,A14943248BZD
Hill Valley High School,9:00am - 10:00am,02/05/2025,Major Violation,,Continued Misconduct,W,M,2,P,A15771266BZD
Hill Valley High School,After School,01/28/2025,Major Violation,,Continued Misconduct,W,M,0,F,A15843587BZD
Hill Valley High School,1:00pm - 2:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Other,,W,F,4,P,A15141941BZD
Bayside,10:00am-11:00am,02/10/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,11:00am - 12:00pm,02/10/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A14011100BZD
Bayside,11:00am - 12:00pm,02/10/2025,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142052BZD
Bayside,9:00am - 10:00am,02/10/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A14377289BZD
Rydell High School,11:00am - 12:00pm,02/10/2025,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15125486BZD
Hill Valley High School,8:00am - 9:00am,01/30/2025,Major Violation,,Continued Misconduct,W,M,2,P,A16907555BZD
Springfield Elementary,12:00pm - 1:00pm,02/07/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16709384BZD
Springfield Elementary,9:00am - 10:00am,02/10/2025,Major Violation,,Continued Misconduct,W,M,1,F,A15850136BZD
Springfield Elementary,10:00am-11:00am,02/10/2025,Major Violation,,Assault,W,M,1,P,A15857090BZD
Springfield Elementary,12:00pm - 1:00pm,02/06/2025,Major Violation,,Continued Misconduct,W,M,0,F,A16747481BZD
Springfield Elementary,2:00pm -3:00pm,02/07/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,0,P,A16709360BZD
Springfield Elementary,9:00am - 10:00am,02/10/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,1,F,A15850136BZD
Hill Valley High School,8:00am - 9:00am,02/07/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15686213BZD
Hill Valley High School,8:00am - 9:00am,01/30/2025,Major Violation,,Continued Misconduct,W,M,2,P,A15850778BZD
Hill Valley High School,9:00am - 10:00am,02/07/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,P,A15850796BZD
Hill Valley High School,Unknown,02/07/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,P,A15141929BZD
Rydell High School,12:00pm - 1:00pm,02/11/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,1,P,A15913277BZD
Shermer High School,12:00pm - 1:00pm,02/11/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,7,F,A13631453BZD
Shermer High School,8:00am - 9:00am,02/12/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,8,F,A13607390BZD
Hill Valley High School,2:00pm -3:00pm,02/11/2025,Major Violation,,"Continued Misconduct,Harassment",W,M,0,P,A16732493BZD
Bayside,11:00am - 12:00pm,02/12/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15277364BZD
Hill Valley High School,8:00am - 9:00am,02/07/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15626174BZD
Shermer High School,11:00am - 12:00pm,02/12/2025,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,9,F,A13364417BZD
Shermer High School,12:00pm - 1:00pm,02/11/2025,Major Violation,,Continued Misconduct,B,M,7,F,A13732628BZD
Bayside,12:00pm - 1:00pm,02/12/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,P,A15717014BZD
Bayside,10:00am-11:00am,02/12/2025,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15137912BZD
Rydell High School,2:00pm -3:00pm,02/11/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,1,F,A16857281BZD
Shermer High School,1:00pm - 2:00pm,02/12/2025,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,9,F,A13115837BZD
Bayside,9:00am - 10:00am,02/03/2025,Major Violation,,Threats,W,M,4,F,A14058587BZD
Bayside,10:00am-11:00am,02/03/2025,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15850814BZD
Shermer High School,Unknown,02/12/2025,Minor Violation (5 times in the same quarter),Other,,W,M,6,P,A15026240BZD
Springfield Elementary,8:00am - 9:00am,02/10/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,P,A16170938BZD
Springfield Elementary,12:00pm - 1:00pm,02/11/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,0,F,A16413923BZD
Springfield Elementary,2:00pm -3:00pm,02/11/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16413923BZD
Shermer High School,1:00pm - 2:00pm,02/13/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,9,F,A13368554BZD
Rydell High School,2:00pm -3:00pm,02/13/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,1,P,A15995096BZD
Bayside,11:00am - 12:00pm,02/13/2025,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14365835BZD
Rydell High School,11:00am - 12:00pm,02/13/2025,Minor Violation (5 times in the same quarter),Other,,W,F,1,F,A15877154BZD
Bayside,12:00pm - 1:00pm,02/14/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A14988029BZD
Shermer High School,1:00pm - 2:00pm,02/14/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,7,F,A13631453BZD
Rydell High School,Before School,02/14/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15142322BZD
Shermer High School,2:00pm -3:00pm,02/14/2025,Major Violation,,Harassment,B,M,9,F,A13618430BZD
Shermer High School,10:00am-11:00am,02/18/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,5,F,A14576444BZD
Shermer High School,11:00am - 12:00pm,02/18/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,9,F,A13364417BZD
Bayside,9:00am - 10:00am,02/18/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,R,A15061304BZD
Rydell High School,1:00pm - 2:00pm,02/13/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,1,P,A15695012BZD
Rydell High School,2:00pm -3:00pm,02/18/2025,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15995096BZD
Hill Valley High School,8:00am - 9:00am,02/12/2025,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14785055BZD
Shermer High School,11:00am - 12:00pm,02/24/2025,Minor Violation (5 times in the same quarter),Insubordination,,B,M,7,F,A13732628BZD
Shermer High School,11:00am - 12:00pm,02/24/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,7,F,A13631453BZD
Shermer High School,11:00am - 12:00pm,02/24/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,11,F,A15249146BZD
Bayside,12:00pm - 1:00pm,02/25/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15659372BZD
Shermer High School,2:00pm -3:00pm,02/25/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,9,F,A13631612BZD
Shermer High School,9:00am - 10:00am,02/26/2025,Minor Violation (5 times in the same quarter),Other,,W,M,6,F,A14189777BZD
Bayside,1:00pm - 2:00pm,02/26/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,4,F,A14609051BZD
Bayside,1:00pm - 2:00pm,02/26/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A14873558BZD
Rydell High School,2:00pm -3:00pm,02/24/2025,Minor Violation (5 times in the same quarter),Other,,H,F,3,F,A16437956BZD
Rydell High School,2:00pm -3:00pm,02/24/2025,Minor Violation (5 times in the same quarter),Other,,H,M,4,F,A14086856BZD
Rydell High School,12:00pm - 1:00pm,02/26/2025,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15125486BZD
Hill Valley High School,8:00am - 9:00am,02/24/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A16789574BZD
Hill Valley High School,10:00am-11:00am,02/24/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A15843587BZD
Hill Valley High School,11:00am - 12:00pm,02/24/2025,Major Violation,,Assault,W,M,1,F,A15856592BZD
Shermer High School,10:00am-11:00am,02/27/2025,Major Violation,,Exceeded minor maximum count,W,M,9,F,A13631612BZD
Shermer High School,12:00pm - 1:00pm,02/27/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,6,P,A15026240BZD
Shermer High School,8:00am - 9:00am,02/27/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,5,F,A14576444BZD
Shermer High School,1:00pm - 2:00pm,02/27/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,8,F,A13607390BZD
Bayside,8:00am - 9:00am,02/27/2025,Minor Violation (5 times in the same quarter),Preparedness,,W,M,2,F,A15531968BZD
Bayside,8:00am - 9:00am,02/27/2025,Minor Violation (5 times in the same quarter),Preparedness,,W,F,2,F,A16417805BZD
Hill Valley High School,8:00am - 9:00am,02/24/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15686213BZD
Hill Valley High School,12:00pm - 1:00pm,02/26/2025,Major Violation,,Fighting,W,M,1,F,A15856592BZD
Hill Valley High School,1:00pm - 2:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Other,,W,F,4,P,A15818579BZD
Hill Valley High School,1:00pm - 2:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15072533BZD
Shermer High School,After School,02/27/2025,Major Violation,,Leaving class/school without permission,W,M,9,F,A13631612BZD
Shermer High School,After School,02/27/2025,Major Violation,,Leaving class/school without permission,W,M,9,F,A13631612BZD
Hill Valley High School,1:00pm - 2:00pm,02/11/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A16907555BZD
Hill Valley High School,2:00pm -3:00pm,02/24/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A15771266BZD
Bayside,11:00am - 12:00pm,02/28/2025,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,4,P,A14011100BZD
Shermer High School,12:00pm - 1:00pm,02/28/2025,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",W,M,7,F,A13631453BZD
Shermer High School,12:00pm - 1:00pm,02/28/2025,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",B,M,7,F,A13732628BZD
Bayside,2:00pm -3:00pm,02/28/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15119036BZD
Rydell High School,9:00am - 10:00am,02/27/2025,Minor Violation (5 times in the same quarter),Disruption,,B,M,0,F,A16157912BZD
Rydell High School,2:00pm -3:00pm,02/28/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,B,M,0,F,A16157912BZD
Shermer High School,8:00am - 9:00am,03/03/2025,Minor Violation (5 times in the same quarter),Insubordination,,W,M,8,F,A13607390BZD
Shermer High School,11:00am - 12:00pm,03/03/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,6,P,A14526035BZD
Bayside,12:00pm - 1:00pm,03/03/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,P,A15717014BZD
Bayside,12:00pm - 1:00pm,03/03/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15144467BZD
Shermer High School,12:00pm - 1:00pm,03/03/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,9,P,A16172189BZD
Bayside,8:00am - 9:00am,03/03/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,2,F,A15659372BZD
Bayside,2:00pm -3:00pm,03/03/2025,Minor Violation (5 times in the same quarter),Other,,W,M,3,P,A15277364BZD
Hill Valley High School,10:00am-11:00am,02/28/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16327676BZD
Hill Valley High School,10:00am-11:00am,02/28/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16327679BZD
Hill Valley High School,12:00pm - 1:00pm,02/28/2025,Major Violation,,Fighting,W,M,1,R,A16327667BZD
Hill Valley High School,1:00pm - 2:00pm,02/18/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15850778BZD
Springfield Elementary,1:00pm - 2:00pm,02/28/2025,Major Violation,,Continued Misconduct,W,F,1,P,A14435471BZD
Hill Valley High School,1:00pm - 2:00pm,02/18/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A16907555BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14991482BZD
Springfield Elementary,12:00pm - 1:00pm,02/28/2025,Major Violation,,Assault,W,M,0,F,A16413923BZD
Bayside,9:00am - 10:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15211967BZD
Hill Valley High School,Unknown,02/25/2025,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14081303BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,R,A14781935BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A14794331BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14843591BZD
Hill Valley High School,1:00pm - 2:00pm,02/27/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15403370BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14911667BZD
Bayside,10:00am-11:00am,02/28/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14911667BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,P,A15142526BZD
Bayside,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A14900798BZD
Rydell High School,2:00pm -3:00pm,03/04/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,4,F,A14794292BZD
Shermer High School,10:00am-11:00am,03/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,8,F,A13607390BZD
Bayside,Before School,03/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15617582BZD
Bayside,Before School,03/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A14377289BZD
