Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Bayside,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15849686BZD
Bayside,11:00am - 12:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15849536BZD
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A13728677BZD
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15089432BZD
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A14794331BZD
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,R,A15142475BZD
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14911667BZD
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A14011100BZD
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,F,A15470480BZD
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470471BZD
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15659372BZD
Hill Valley High School,2:00pm -3:00pm,09/03/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,2:00pm -3:00pm,08/27/2024,Major Violation,,Assault,W,F,1,P,A15849629BZD
Hill Valley High School,2:00pm -3:00pm,08/15/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,11:00am - 12:00pm,08/16/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,11:00am - 12:00pm,08/21/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,Unknown,08/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A14434376BZD
Bayside,12:00pm - 1:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15089432BZD
Hill Valley High School,8:00am - 9:00am,08/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A14434376BZD
